title,author,cover,pages,publisher,publish_year,rating,rating_count,rating_5,rating_4,rating_3,rating_2,rating_1,rated_high
Bone: The Complete Edition,Jeff Smith,Paperback,1344,Cartoon,2010,4.430000000000001,32587,19729,8485,3300,763,310,1
Esio Trot,"Roald Dahl, Quentin Blake (Illustrator)",Paperback,80,Jonathan Cape Children,2003,3.74,32499,8625,10727,10038,2452,657,0
The Egypt Game,Zilpha Keatley Snyder,Hardcover,215,Turtleback,2009,3.8299999999999996,32415,9941,11118,8126,2320,910,0
Skippyjon Jones,Judy Schachner,Hardcover,32,Dutton Children,2003,4.24,32278,18077,7272,4572,1466,891,1
How Do Dinosaurs Say Good Night?,"Jane Yolen (Author), Mark Teague (Illustrator)",Hardcover,40,Blue Sky,2000,4.16,32144,15110,9123,6117,1386,408,1
The Berenstain Bears and the Messy Room,"Stan Berenstain, Jan Berenstain",Paperback,32,Random House Books for Young Readers,1983,4.18,32050,15966,8151,6237,1221,475,1
The Stonekeeper's Curse,Kazu Kibuishi (Author),Paperback,220,Graphix,2009,4.33,32023,16891,10070,4101,676,285,1
Yertle the Turtle and Other Stories,Dr. Seuss,NA,96,Random House Books for Young Readers,1958,4.15,31962,15053,9042,6116,1242,509,1
Ballet Shoes,"Noel Streatfeild, Diane Goode (Illustrator)",Paperback,233,Yearling,2003,4.07,31814,12924,10711,6269,1323,587,1
Kristy's Great Idea,"Raina Telgemeier (Author) (Illustrator), Ann M. Martin",NA,186,Turtleback,2006,4.1899999999999995,31692,17042,7598,4468,1324,1260,1
Big Nate Strikes Again,Lincoln Peirce,Hardcover,216,HarperCollins,2010,4.25,31560,17757,7154,4347,1433,869,1
Bread and Jam for Frances,"Russell Hoban, Lillian Hoban (Illustrator)",Paperback,32,HarperCollins,1993,4.21,31237,15631,8507,5564,1103,432,1
The Grouchy Ladybug,Eric Carle,Paperback,48,HarperCollins,1996,4.11,31104,14307,8564,6131,1534,568,1
"Moo, Baa, La La La!",Sandra Boynton,Hardcover,14,Simon,2004,4.2,31057,15684,8232,5372,1287,482,1
Awkward,Svetlana Chmakova (Author),Paperback,224,JY,2015,4.109999999999999,31021,15109,8409,4615,1569,1319,1
Dinosaurs Before Dark,"Mary Pope Osborne, Salvatore Murdocca (Illustrator)",Paperback,68,Random House,1992,3.92,30750,11543,8797,7705,1970,735,0
"Panda Bear, Panda Bear, What Do You See?","Bill Martin Jr. (Illustrations), Eric Carle (Illustrator)",Hardcover,32,Henry Holt and Co,2003,4.23,30669,15892,7728,5560,1151,338,1
A Grimm Warning,"Chris Colfer, Brandon Dorman (Illustrator)",Hardcover,448,Little Brown Books for Young Readers,2014,4.52,29903,19287,7616,2460,390,150,1
How to Tell If Your Cat Is Plotting to Kill You,Matthew Inman,Paperback,131,Andrews McMeel Publishing,2012,3.94,29646,11042,9351,6442,1967,844,0
There Was an Old Lady Who Swallowed a Fly,Pam Adams (Illustrations),Board Book,14,Child,2000,4.22,29424,15577,6819,5342,1237,449,1
Disney's Beauty and the Beast,"Teddy Slater, Ron Dias (Illustrator), Ric González (Illustrator)",Hardcover,NA,Golden,2004,4.41,29270,18524,5840,3757,810,339,1
Miss Nelson Is Back,"Harry Allard, James Marshall (Illustrator)",Paperback,32,Houghton Mifflin Company,1982,4.34,29133,16366,7412,4492,682,181,1
Gnomes,"Wil Huygen, Rien Poortvliet (Illustrator)",Hardcover,212,Harry N Abrams,1977,4.02,29013,12852,7707,5588,1770,1096,1
Charmed Life,Diana Wynne Jones,Paperback,252,HarperCollins Children,2000,3.9699999999999998,29009,10060,10826,6023,1333,767,0
Chicken Soup with Rice: A Book of Months,Maurice Sendak,Paperback,32,HarperCollins,1991,4.25,28998,15205,7707,4669,1004,413,1
Bear Snores On,"Karma Wilson (Author), Jane Chapman (Illustrator)",Hardcover,34,Margaret K McElderry,2002,4.26,28784,14682,8460,4511,828,303,1
Five Little Monkeys Jumping on the Bed,Eileen Christelow (Retelling),Hardcover,32,Clarion,1989,4.11,28600,13592,7103,5966,1468,471,1
The Gruffalo,"Julia Donaldson, Axel Scheffler (Illustrator)",Paperback,32,MacMillan Children,1999,4.49,28511,18282,6857,2603,537,232,1
Lilly's Purple Plastic Purse,Kevin Henkes,Hardcover,40,Greenwillow,2006,4.21,28436,14392,7694,4708,1191,451,1
Danny and the Dinosaur,Syd Hoff,Paperback,64,Harper Trophy,1978,4.02,28420,12156,7447,6610,1678,529,1
Officer Buckle and Gloria,Peggy Rathmann,Hardcover,40,GP Putnam,1995,4.18,28355,13774,7992,4932,1193,464,1
There's a Wocket in My Pocket!,Dr. Seuss,Paperback,30,Collins,2003,4.03,28332,12126,7613,6506,1595,492,1
Stone Soup,"Ann McGovern (Author), Winslow Pinney Pels (Illustrator ), Winslow Pinn (Illustrations), Ey Pels (Illustrations)",Paperback,32,Scholastic Paperbacks,1986,4.29,28117,14949,7611,4626,724,207,1
Diary of a Worm,"Doreen Cronin, Harry Bliss (Illustrator)",Hardcover,40,HarperCollins,2003,4.21,27764,13958,7615,4661,1128,402,1
Sunny Side Up,"Jennifer L. Holm (Author), Matthew Holm (Illustrations), Lark Pien (Colorist)",Hardcover,224,Graphix,2015,4.119999999999999,27713,12791,8242,4707,1269,704,1
"Hand, Hand, Fingers, Thumb","Al Perkins, Eric Gurney (Illustrator)",Board Book,24,Random House Books for Young Readers,1998,4.22,27625,14788,6461,4659,1227,490,1
Madeline's Rescue,Ludwig Bemelmans,Hardcover,56,The Viking,1981,4.25,27449,13946,7745,4730,806,222,1
In Real Life,"Cory Doctorow, Jen Wang (Author) (Illustrations)",Paperback,175,First Second,2014,3.8099999999999996,27241,8071,9168,7396,1875,731,0
Swallows and Amazons,Arthur Ransome,Paperback,315,David R Godine Publisher,2010,4,27113,10571,8872,5485,1478,707,0
The Foot Book: Dr. Seuss's Wacky Book of Opposites,Dr. Seuss,Board Book,24,Random House Books for Young Readers,1996,4.02,26973,11517,6981,6495,1539,441,1
Good Night Stories for Rebel Girls: 100 Tales of Extraordinary Women,"Elena Favilli (Author), Francesca Cavallo (Author)",Hardcover,212,Timbuktu Labs,2016,4.35,26930,14991,7932,2866,702,439,1
Just Go To Bed,Mercer Mayer,Paperback,24,Random House Books for Young Readers,2001,4.23,26864,13926,6918,4712,914,394,1
The Dot,Peter H. Reynolds,Hardcover,32,Candlewick,2003,4.19,26774,14496,6326,3563,1273,1116,1
Knuffle Bunny Too: A Case of Mistaken Identity,Mo Willems,Hardcover,42,Hyperion Books for Children,2007,4.29,26762,14471,7296,3724,907,364,1
"Lyle, Lyle, Crocodile",Bernard Waber,Paperback,48,HMH Books for Young Readers,1987,4.14,26464,11969,7674,5617,984,220,1
Pride and Joy,"Brian K. Vaughan (Author), Adrian Alphona (Artist)",Paperback,144,Marvel,2006,3.9699999999999998,26070,9752,8977,5121,1337,883,0
The Cat in the Hat Comes Back,Dr. Seuss,Hardcover,NA,Begginner,2000,3.86,26015,9163,7255,6973,2038,586,0
The Missing Piece,Shel Silverstein,Hardcover,112,HarperCollins,2006,4.28,25997,13552,7575,3766,830,274,1
"Giggle, Giggle, Quack","Doreen Cronin, Betsy Lewin (Illustrator)",Paperback,32,Simon,2004,4.21,25910,12821,7195,4649,939,306,1
The Little Red Hen,"Diane Muldrow, J.P. Miller (Illustrator)",Hardcover,24,Golden,2001,4.23,25821,13342,6337,5013,877,252,1
Oz: The Wonderful Wizard of Oz,"Eric Shanower (Author), Skottie Young (Illustrator), L. Frank Baum",Hardcover,216,Marvel,2009,4.09,25791,11253,8043,4720,1152,623,1
Bedtime for Frances,"Russell Hoban, Garth Williams (Illustrator)",Paperback,32,HarperFestival,1995,4.15,25766,12096,7270,4988,1029,383,1
Just for You,Mercer Mayer (Author & Illustrator),Paperback,NA,Golden Books Publishing Company,1998,4.28,25729,14077,6206,4287,865,294,1
The Yearling,Marjorie Kinnan Rawlings,Paperback,513,Aladdin,2001,4,25625,10121,8251,5174,1401,678,0
It's a Magical World,Bill Watterson,Paperback,176,Andrews McMeel Publishing,1996,4.76,25572,20580,3979,905,63,45,1
Jumanji,Chris Van Allsburg,Hardcover,22,Fondo de Cultura Economica USA,1995,4.05,25390,10110,8335,5350,1189,406,1
Jumanji,"Chris Van Allsburg (author, illustrator)",Hardcover,32,Houghton Mifflin Company,1981,4.05,25389,10109,8335,5350,1189,406,1
The Pigeon Finds a Hot Dog!,Mo Willems,Hardcover,40,Hyperion Books for Children,2004,4.35,25383,14739,6281,3249,786,328,1
Touching Spirit Bear,Ben Mikaelsen,Paperback,289,HarperCollins,2005,3.86,25284,8600,8414,5466,1835,969,0
Why Mosquitoes Buzz in People's Ears,"Verna Aardema, Leo Dillon (Illustrator), Diane Dillon (Illustrator)",Paperback,32,Puffin,1992,4.03,25099,10680,7235,5080,1376,728,1
A Chair for My Mother,Vera B. Williams,Paperback,NA,Greenwillow,2007,4.2,24968,12628,6910,3833,1022,575,1
The Cloud Searchers,Kazu Kibuishi (Author),Paperback,203,Graphix,2010,4.359999999999999,24793,13399,7648,3144,437,165,1
Fancy Nancy,"Jane O'Connor, Robin Preiss Glasser (Illustrator)",Hardcover,32,HarperCollins,2005,4.17,24640,12346,6312,4253,1186,543,1
"Angels and Demons / The Da Vinci Code (Robert Langdon, #1-2)",Dan Brown (Author),Hardcover,NA,Bantam,2005,4.23,24616,11449,8704,3429,738,296,1
How I Became a Pirate,"Melinda Long (Author), David Shannon (Illustrator)",Hardcover,44,HMH Books for Young Readers,2003,4.08,24563,10839,7066,4921,1300,437,1
I Want My Hat Back,Jon Klassen,Hardcover,40,Candlewick,2011,4.39,24560,14478,6590,2480,645,367,1
The Wild Robot,Peter Brown,Hardcover,279,Little Brown Books for Young Readers,2016,4.13,24498,10442,8809,3778,987,482,1
Flotsam,David Wiesner,Hardcover,40,Clarion,2006,4.25,24378,13224,6386,3137,907,724,1
Tuesday,David Wiesner,Paperback,32,Clarion,2011,4.18,24377,11881,6990,3928,1083,495,1
The Going to Bed Book,Sandra Boynton,Board Book,14,Little Simon,1982,4.23,24046,12232,6686,3973,832,323,1
Miss Rumphius,Barbara Cooney,Paperback,32,Puffin,1985,4.46,24039,15147,5710,2494,480,208,1
A Child's Garden of Verses,"Robert Louis Stevenson, Tasha Tudor (Illustrator)",Hardcover,67,Simon,1999,4.3,24027,12935,6589,3594,651,258,1
The Illustrated Brothers Grimm Fairy Tales,"Jacob Grimm, Wilhelm Grimm",Hardcover,336,Gramercy,1988,4.13,23433,10161,7809,4278,824,361,1
Giraffes Can't Dance,"Giles Andreae, Guy Parker-Rees (Illustrator)",Hardcover,32,Orchard,2001,4.31,23090,12490,6438,3236,675,251,1
Eloise,"Kay Thompson, Hilary Knight",Hardcover,65,Simon Schuster Books for Young Readers,1969,4.2,22945,11739,5908,3920,936,442,1
Old Possum's Book of Practical Cats,"T.S. Eliot, Edward Gorey (Illustrator)",Hardcover,NA,Harcourt Brace,1982,4.08,22850,9322,7735,4382,1016,395,1
Who Could That Be at This Hour?,"Lemony Snicket (Author), Seth (Illustrator)",Hardcover,258,Little Brown,2012,3.84,22806,6748,8169,5858,1464,567,0
Disney Snow White and the Seven Dwarfs (A Little Golden Book),Walt Disney Company,Hardcover,NA,Golden,2003,4.1899999999999995,22724,11737,5289,4309,1023,366,1
Tales from a Not-So-Smart Miss Know-It-All,Rachel Renée Russell (Author),Hardcover,368,Aladdin,2012,4.39,22516,14190,4608,2540,719,459,1
Swimmy,Leo Lionni,Paperback,32,Dragonfly,1973,4.14,22472,10361,6674,4065,891,481,1
"Avatar: The Last Airbender: The Search, Part 1","Gene Luen Yang (Author) (Writer), Bryan Konietzko (Writer), Michael Dante DiMartino (Author) (Writer), Dave Marshall (Editor), Gurihiru (Illustrator)",Paperback,76,Dark Horse,2013,4.31,22428,12543,5855,2879,697,454,1
The Five Chinese Brothers,"Claire Huchet Bishop, Kurt Wiese (Illustrator)",Paperback,64,Puffin,1996,4.19,22283,10831,6241,4127,773,311,1
The Days Are Just Packed,Bill Watterson,Paperback,176,Andrews McMeel Publishing,1993,4.7,22159,17047,3856,987,152,117,1
Pat the Bunny,Dorothy Kunhardt,Hardcover,18,Golden,1999,4.07,22116,10592,4971,4664,1374,515,1
Kitten's First Full Moon,Kevin Henkes,Hardcover,40,Greenwillow,2004,4.1,22084,9661,6774,4203,1031,415,1
The Adventures of Ook and Gluk: Kung Fu Cavemen from the Future,"Dav Pilkey, George Beard, Harold Hutchins",Hardcover,176,The Blue Sky,2010,4.2,22048,12668,4170,3042,1274,894,1
Is Your Mama a Llama?,"Deborah Guarino, Steven Kellogg (Illustrator)",Board Book,28,Scholastic,1997,4.17,22044,10606,6140,4106,878,314,1
Little Red Riding Hood,"Trina Schart Hyman, Johann Grimm, Wilhelm Grimm",Hardcover,32,Holiday House,1983,4.13,22041,10051,6043,4894,879,174,1
The Lion and the Mouse,Jerry Pinkney,Hardcover,40,Little Brown Books for Young Readers,2009,4.24,21909,11105,6431,3279,720,374,1
Molly Moon's Incredible Book of Hypnotism,Georgia Byng,Paperback,371,HarperCollins,2004,3.8899999999999997,21855,7740,6890,5019,1430,776,0
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,Board Book,18,Little Simon,2007,4.28,21839,11668,5849,3280,765,277,1
Coraline,"P. Craig Russell (Adaptor/Illustrator), Neil Gaiman (Author)",Hardcover,NA,HarperAlley,2008,3.9899999999999998,21808,7745,7864,4834,1060,305,0
"Avatar: The Last Airbender: The Promise, Part 1","Gene Luen Yang (Author), Bryan Konietzko, Michael Dante DiMartino (Author), Gurihiru (Artist)",Paperback,76,Dark Horse Comics,2012,4.25,21807,11206,6250,3236,726,389,1
Rikki Tikki Tavi,"Rudyard Kipling, Chuck Jones (Illustrator)",Hardcover,32,WorthyKids,2000,3.9899999999999998,21754,7924,7406,5025,1039,360,0
And to Think That I Saw It on Mulberry Street,Dr. Seuss,Paperback,64,Vanguard,2003,4,21740,8598,6393,5264,1179,306,0
Rikki-Tikki-Tavi,"Rudyard Kipling, Jerry Pinkney (Illustrator)",Hardcover,48,HarperCollins,1997,3.9899999999999998,21736,7915,7400,5023,1040,358,0
Real Friends,"Shannon Hale (Author), LeUyen Pham (Illustrations), Jane Poole (Color by)",Hardcover,224,First Second,2017,4.18,21701,10497,6611,3168,806,619,1
Days with Frog and Toad,Arnold Lobel,Paperback,64,HarperCollins,2004,4.25,21689,11655,5445,3393,830,366,1
Barnyard Dance,Sandra Boynton,Board Book,24,Workman Publishing Company,1993,4.26,21628,11498,5654,3334,782,360,1
The Pigeon Wants a Puppy!,Mo Willems,Hardcover,40,Hyperion Books for Children,2008,4.36,21595,12676,5336,2656,632,295,1
Animalia,Graeme Base,Hardcover,NA,Harry N Abrams,1987,4.28,21277,11477,5680,3084,713,323,1
The Little Match Girl,"Hans Christian Andersen, Rachel Isadora (Illustrator)",Paperback,32,Scholastic,2003,4.09,21244,9127,6725,4050,956,386,1
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,Hardcover,128,Ebury,2019,4.64,20957,15763,3512,1152,337,193,1
The Book with No Pictures,B.J. Novak (Author),Hardcover,48,Dial,2014,4.37,20702,12191,5387,2124,592,408,1
Dog Man,Dav Pilkey,Hardcover,231,Graphix,2016,4.21,20647,11813,4201,2702,974,957,1
The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,Paperback,254,Sphere,1990,4.74,20598,16132,3602,767,69,28,1
If You Give a Pig a Party,"Laura Joffe Numeroff (Author), Felicia Bond (Illustrator)",Hardcover,32,HarperCollins,2005,4.24,20542,10699,5232,3669,720,222,1
Guts,Raina Telgemeier (Author),NA,144,Scholastic,2019,4.37,20491,11452,6108,2305,407,219,1
The Little Mermaid,"Hans Christian Andersen, Charles Santore (Illustrator)",Hardcover,48,Random House Books for Young Readers,1993,4.01,20415,7752,6768,4583,1005,307,1
The Little Mermaid,"Hans Christian Andersen, Lisbeth Zwerger (Illustrator), Anthea Bell (Translator)",Hardcover,48,Minedition,2004,4.01,20391,7746,6758,4575,1005,307,1
Press Here,"Hervé Tullet, Christopher Franceschelli (Author) (Translator)",Hardcover,56,Chronicle,2011,4.44,20328,12778,4791,1979,536,244,1
Three Little Kittens,"Masha (Illustrator), Marie Simchow Stern",Paperback,20,Golden,1982,4.29,20164,11345,4426,3573,623,197,1
The Calvin and Hobbes Lazy Sunday Book,Bill Watterson,Paperback,128,Andrews McMeel Publishing,1989,4.67,20067,15090,3644,1104,165,64,1
A Fish Out of Water,"Helen Marion Palmer, P.D. Eastman (Illustrator)",Hardcover,64,Random House Books for Young Readers,1989,4.22,20056,10924,4516,3186,884,546,1
A Color of His Own,Leo Lionni,Hardcover,40,Knopf Books for Young Readers,2006,4.26,20029,10296,5622,3314,611,186,1
Frédéric,Leo Lionni,Hardcover,NA,L,2002,4.19,20010,9627,5875,3538,720,250,1
The Bronze Bow,Elizabeth George Speare,Paperback,256,HMH Books for Young Readers,1997,3.9699999999999998,19924,7308,6914,3992,1124,586,0
Millions of Cats,Wanda Gág,Paperback,32,Picture Puffin,2006,4.09,19719,8832,5543,3965,1047,332,1
Frosty the Snowman (Frosty the Snowman),Diane Muldrow,Hardcover,24,Golden,2001,4.35,19637,12069,3727,2857,665,319,1
There's Treasure Everywhere,Bill Watterson,Paperback,176,Andrews McMeel Publishing,1996,4.75,19516,15601,3079,730,77,29,1
Mufaro's Beautiful Daughters: An African Tale,John Steptoe,Hardcover,32,Amistad,2018,4.34,19499,10731,5504,2614,441,209,1
If You Take a Mouse to the Movies,"Laura Joffe Numeroff (Author), Felicia Bond (Illustrations)",Hardcover,40,HarperCollins,2000,4.16,19494,9456,5203,3691,878,266,1
Friendship to the Max,"Noelle Stevenson (Writer, Creator), Grace Ellis (Writer, Creator), Shannon Watters (Creator), Leonardo Favia, Maarta Laiho (Colourist), Brooke Allen (Tradutor), Brooke A. Allen (Illustrator)",Paperback,126,BOOM,2015,4.17,19465,8299,7288,3058,550,270,1
The Hat,Jan Brett,NA,32,Macdonald Young,1998,4.27,19457,9994,5633,3081,563,186,1
The Last Council,Kazu Kibuishi (Author),Paperback,219,Graphix,2011,4.39,19415,10882,5905,2156,348,124,1
The Day Jimmy's Boa Ate the Wash,"Trinka Hakes Noble, Steven Kellogg (Illustrator)",Paperback,32,Puffin,1992,4.18,19393,9181,5640,3674,664,234,1
The Indispensable Calvin and Hobbes,Bill Watterson,Paperback,255,Warner,1992,4.74,19235,15131,3284,728,65,27,1
Pinkalicious,"Victoria Kann, Elizabeth Kann",Hardcover,32,HarperCollins,2016,4.06,19188,8959,4827,3631,1212,559,1
The Three Pigs,David Wiesner,Hardcover,38,Clarion,2001,4.16,19182,9112,5517,3390,823,340,1
This Is Not My Hat,Jon Klassen,Hardcover,40,Candlewick,2012,4.26,19131,9828,5806,2468,659,370,1
An Author's Odyssey,"Chris Colfer, Brandon Dorman (Illustrator)",Hardcover,448,Little Brown Books for Young Readers,2016,4.49,19061,12179,4628,1761,360,133,1
The Halloween Tree,Ray Bradbury,Paperback,145,Yearling,1999,3.84,19018,5565,6645,5228,1296,284,0
Just Me in the Tub,"Gina Mayer, Mercer Mayer",NA,24,Topeka Bindery,2001,4.25,19004,10300,4329,3465,646,264,1
From Head to Toe,Eric Carle,Paperback,32,HarperFestival,2007,4.2,18958,9423,5082,3439,764,250,1
The Very Quiet Cricket,Eric Carle,Hardcover,32,Philomel,1990,4.07,18898,8284,5436,3881,851,446,1
The Berenstain Bears Go to School,"Stan Berenstain, Jan Berenstain",Paperback,32,Random House Books for Young Readers,1978,4.31,18830,10772,4129,3099,575,255,1
A Sick Day for Amos McGee,"Philip C. Stead, Erin E. Stead (Illustrator)",Hardcover,32,Roaring Brook,2010,4.27,18751,9721,5574,2544,604,308,1
A Wrinkle in Time: The Graphic Novel,"Hope Larson (Adapter, Illustrator), Madeleine L'Engle",Hardcover,392,Margaret Ferguson,2012,3.9,18545,6590,5941,4209,1266,539,0
Snowmen at Night,"Caralyn Buehner, Mark Buehner (Illustrator)",Hardcover,32,Dial,2002,4.25,18353,9417,5088,3048,603,197,1
Chomp,Carl Hiaasen,Hardcover,290,Knopf Books for Young Readers,2012,3.96,18139,5700,7230,4175,784,250,0
The Mixed-Up Chameleon,Eric Carle,Board Book,32,HarperFestival,1998,4.22,18131,9023,5089,3267,574,178,1
I Can Read With My Eyes Shut!,Dr. Seuss,Paperback,48,HarperCollinsChildren,2003,4.2,18059,9114,4593,3403,727,222,1
David Goes to School,David Shannon,Hardcover,32,Blue Sky,1999,4.17,18041,9416,4220,3016,903,486,1
"Kitchen Princess, Vol. 01","Natsumi Andō (Illustrator), Miyuki Kobayashi",Paperback,187,Del Rey,2007,4.17,18033,9501,4062,2958,981,531,1
Jamberry,Bruce Degen,Board Book,32,HarperFestival,1995,4.19,18014,8937,4784,3257,787,249,1
The 13½ Lives of Captain Bluebear,"Walter Moers, John Brownjohn (Translator)",Paperback,704,Harry N Abrams,2006,4.24,17984,9154,5423,2368,733,306,1
Queen of the World!,"Jennifer L. Holm (Author), Matthew Holm",Paperback,96,Random House Children,2005,3.8699999999999997,17964,7812,3891,3586,1521,1154,0
13 1/2 Lives of Captain Blue Bear,Walter Moers,Ebook,704,The Overlook,2006,4.24,17956,9136,5417,2365,732,306,1
Just Me and My Dad,Mercer Mayer,Paperback,24,Golden,2001,4.21,17914,9025,4652,3352,658,227,1
The Little Red Caboose,Marian Potter,Hardcover,24,Golden,2000,4.23,17900,9439,4241,3381,646,193,1
Frosty the Snow Man,"Annie North Bedford, Jane Werner Watson (Adaptor), Corinne Malvern (Illustrator)",Hardcover,20,Golden,1950,4.26,17899,10065,3830,2985,707,312,1
